Rank,Strategy,Combined_Score,Median_Monthly_%,Positive_Months_%,Total_Return_x,Benchmark_x,Outperformance_%,CAGR_%,MDD_%,Sharpe
152,SMA33_RSI45_70,0.0,0.0,49.473684210526315,1.9834706521974117,252.02972995313297,-12606.501589721976,9.176920676764855,-45.94552728063558,0.31564851238005776
153,SMA33_RSI45_75,0.0,0.0,43.15789473684211,3.6657741664813117,252.02972995313297,-6775.211578978697,18.12115022589913,-43.43375699537139,0.6188080391227156
154,SMA33_RSI45_80,0.0,0.0,47.368421052631575,10.950282293618075,252.02972995313297,-2201.5820340998716,35.91184782976078,-41.327838466674564,0.9920245186162828
155,SMA33_RSI45_85,0.0,0.0,44.21052631578947,18.45165365005923,252.02972995313297,-1265.8923732958965,45.314639421988566,-41.21025898464382,1.0945445389636146
156,SMA34_RSI30_70,0.0,0.0,45.26315789473684,1.965110600407044,252.02972995313297,-12725.218585708544,9.0468331374989,-52.770992395466095,0.23945804209313282
157,SMA34_RSI30_75,0.0,0.0,40.0,3.6318418249698152,252.02972995313297,-6839.446762806847,17.980405371831985,-50.20326139680835,0.5368220725691453
158,SMA34_RSI30_80,0.0,0.0,47.368421052631575,10.848920698069733,252.02972995313297,-2223.0857425105405,35.74990483181146,-43.22566832613375,0.9098940473170642
159,SMA34_RSI30_85,0.0,0.0,43.15789473684211,18.280855399902208,252.02972995313297,-1278.6539220395628,45.1414927189624,-45.67962378422252,1.014093343539109
160,SMA34_RSI35_70,0.0,0.0,45.26315789473684,1.8521785740289542,252.02972995313297,-13507.20469867573,8.222537484860947,-52.770992395466095,0.2116403999559001
161,SMA34_RSI35_75,0.0,0.0,40.0,3.423125197674854,252.02972995313297,-7262.562436346859,17.08857997492348,-50.20326139680835,0.5115544000743731
162,SMA34_RSI35_80,0.0,0.0,47.368421052631575,10.225449124411545,252.02972995313297,-2364.7301735769656,34.72375805451093,-43.22566832613375,0.8878467716355567
163,SMA34_RSI35_85,0.0,0.0,43.15789473684211,17.23028143027007,252.02972995313297,-1362.7139491196492,44.04435401237776,-45.67962378422252,0.9930243346321829
164,SMA34_RSI40_70,0.0,0.0,45.26315789473684,1.7923813426678727,252.02972995313297,-13961.166781506381,7.768170090245108,-47.21830963515761,0.25487078654075096
165,SMA34_RSI40_75,0.0,-0.05029377683797298,38.94736842105263,3.3126102547349583,252.02972995313297,-7508.191443375757,16.59698890471859,-44.77084313244998,0.5556892506551799
166,SMA34_RSI40_80,0.0,0.0,46.31578947368421,9.895322453237885,252.02972995313297,-2446.9582334900606,34.15812649233618,-42.67961994091987,0.9305020609833068
167,SMA34_RSI40_85,0.0,0.0,43.15789473684211,16.67400508653657,252.02972995313297,-1411.5128527616585,43.43959035258207,-42.598612383424566,1.0345878850876267
168,SMA34_RSI45_70,0.0,0.0,47.368421052631575,1.8528615677533813,252.02972995313297,-13502.188870414227,8.227652884257708,-50.452942065449534,0.25647273105793755
169,SMA34_RSI45_75,0.0,0.0,41.05263157894737,3.4243874804054477,252.02972995313297,-7259.8484807943705,17.09411444921414,-48.150619582564886,0.5642164859921349
170,SMA34_RSI45_80,0.0,0.0,46.31578947368421,10.22921977464981,252.02972995313297,-2363.8216355241134,34.73012609805068,-46.220306287520835,0.9437801588730877
171,SMA34_RSI45_85,0.0,0.0,43.15789473684211,17.2366351232952,252.02972995313297,-1362.1747699034158,44.05116261637794,-46.11253135022128,1.0483645680999125
172,SMA35_RSI30_70,0.0,0.0,44.21052631578947,2.1552113738645358,252.02972995313297,-11593.968072431586,10.345432499062458,-49.646537956676305,0.2996639619966031
173,SMA35_RSI30_75,0.0,0.0,40.0,3.967447600218428,252.02972995313297,-6252.440040777286,19.32483937251035,-47.11861544447496,0.5916041971593363
174,SMA35_RSI30_80,0.0,0.0,47.368421052631575,11.754832221472611,252.02972995313297,-2044.0521243063681,37.15284705556525,-42.722690501586555,0.9559715557289377
175,SMA35_RSI30_85,0.0,0.0,43.15789473684211,19.807351723852644,252.02972995313297,-1172.404981073925,46.64149471753743,-45.198386157075326,1.0584055863365278
176,SMA35_RSI35_70,0.0,0.0,44.21052631578947,1.9676435808998913,252.02972995313297,-12708.708467306285,9.064843057904937,-49.646537956676305,0.25678574570991275
177,SMA35_RSI35_75,0.0,0.0,40.0,3.6221611011306454,252.02972995313297,-6857.993388931894,17.940041416604412,-47.11861544447496,0.5526265124909618
178,SMA35_RSI35_80,0.0,0.0,47.368421052631575,10.731810552605937,252.02972995313297,-2248.436256097851,35.5611501109224,-42.722690501586555,0.9219442707632766
179,SMA35_RSI35_85,0.0,0.0,43.15789473684211,18.083520227614944,252.02972995313297,-1293.698388261064,44.93967937712966,-45.198386157075326,1.0258847865942229
180,SMA35_RSI40_70,0.0,0.0,45.26315789473684,1.9342784353105078,252.02972995313297,-12929.651023983777,8.825973089969242,-42.435532207757056,0.3086796499813258
181,SMA35_RSI40_75,0.0,0.0,40.0,3.560740458865664,252.02972995313297,-6978.014611416566,17.68173330262708,-39.70365473411577,0.60463583894545
182,SMA35_RSI40_80,0.0,0.0,47.368421052631575,10.549832258873648,252.02972995313297,-2288.9453762750245,35.2642488669245,-38.90971730910449,0.9713824465227792
183,SMA35_RSI40_85,0.0,0.0,43.15789473684211,17.776879690161987,252.02972995313297,-1317.7388515072773,44.62223760951032,-38.7872918928903,1.0739057585223337
184,SMA35_RSI45_70,0.0,0.0,46.31578947368421,1.9305282162420823,252.02972995313297,-12954.962255031305,8.798900157098943,-47.73821793212258,0.29462803155817857
185,SMA35_RSI45_75,0.0,0.0,41.05263157894737,3.5538368215594818,252.02972995313297,-6991.764270778706,17.652457298238588,-45.2528783619473,0.5988919918796162
186,SMA35_RSI45_80,0.0,0.0,46.31578947368421,10.529378025716927,252.02972995313297,-2293.5861105715476,35.2305988123893,-42.933570716263866,0.972060971117853
187,SMA35_RSI45_85,0.0,0.0,44.21052631578947,17.742413507851214,252.02972995313297,-1320.492932608109,44.58625954270157,-43.11617287694687,1.0756110680539708
188,SMA28_ROC10>0,0.0,0.0,45.26315789473684,65.08687020550494,252.02972995313297,-287.2205394995575,70.80283386823636,-42.0613387556145,1.3933787588925979
189,SMA28_ROC10>1,0.0,0.0,47.368421052631575,59.687156608214046,252.02972995313297,-322.25119150415196,68.91687624730865,-41.06458820732934,1.3957223556662057
