Rank,Strategy,Return_x,Benchmark_x,Gap_%,CAGR_%,MDD_%,Sharpe
34,Price>EMA36,195.36541458727677,252.02972995313297,-22.483186954330115,96.64969018304541,-47.22623603114112,1.475329197912266
35,Price>SMA28,195.2618245502273,252.02972995313297,-22.5242892628033,96.63631924898881,-41.01605288067318,1.5792284742219138
36,Price>SMA37,193.08417598770205,252.02972995313297,-23.38833358127723,96.35379688176296,-42.95217349776521,1.633519496433538
37,Price>EMA38,192.9528867898402,252.02972995313297,-23.44042632362404,96.33667513189454,-47.226236031141106,1.4763357091616005
38,Price>2%_SMA32+ROC20>0,191.89924409675515,252.02972995313297,-23.858489182034038,96.19889794059179,-41.820683335355994,1.6156170005185622
39,Trend_SMA28+ROC18>0%,189.70666301126153,252.02972995313297,-24.72845840586384,95.91006294092941,-48.36648887836563,1.6853727183285505
40,Trend_SMA32+ROC20>3%,187.8572405455662,252.02972995313297,-25.462269637594016,95.66416157023471,-43.63360940556324,1.6226404714556117
41,Trend_SMA28+ROC20>3%,187.15604882053884,252.02972995313297,-25.740487499097007,95.57037825382551,-41.34820801805969,1.6163478536305511
42,Price>EMA32,185.80237775683736,252.02972995313297,-26.277595190302005,95.38845701499883,-43.006261335259275,1.455284596579529
43,Price>SMA34,185.1082808940722,252.02972995313297,-26.552997962385373,95.29472806291201,-48.71355973707831,1.5454180625153864
44,Price>EMA40,184.98001043251492,252.02972995313297,-26.603892934808325,95.27737323455041,-47.62114625142244,1.4609420426614
45,Price>2%_SMA35+ROC20>0,182.2947402265426,252.02972995313297,-27.669350651432346,94.91162913207401,-43.131875757985064,1.5896659129540207
46,Trend_SMA28+ROC20>0%,181.66427518926486,252.02972995313297,-27.919505677744116,94.82507694648467,-48.27464550204134,1.548182617494305
47,Price>0%_SMA28+ROC20>0,181.66427518926486,252.02972995313297,-27.919505677744116,94.82507694648467,-48.27464550204134,1.548182617494305
48,Price>2%_SMA30+ROC20>0,180.565153637781,252.02972995313297,-28.355613573303984,94.67355797322108,-40.78185909256137,1.577444051251566
49,Price>EMA31,176.12033149932438,252.02972995313297,-30.119223818525132,94.05249949932306,-43.15883982213723,1.4613914132861618
50,EMA12>SMA30+ROC20>0,175.60362643118415,252.02972995313297,-30.3242413250853,93.97941819286659,-43.51914953366252,1.5586437743837391
51,Trend_SMA35+ROC20>3%,175.35733018481014,252.02972995313297,-30.421966401575208,93.94451674772493,-39.18985432107706,1.5957940905645736
52,Price>SMA32,174.98211252812425,252.02972995313297,-30.57084473301478,93.89126424239316,-43.4847656184449,1.589539467633817
53,DualMom_ROC5&20+SMA32,173.4034756865373,252.02972995313297,-31.197214027574006,93.66612107631731,-42.97837072121435,1.685987161785476
54,Price>1%_SMA28+ROC20>0,172.87110121059538,252.02972995313297,-31.408448819612587,93.58979151130006,-45.68903526414447,1.5624000404903013
55,Trend_SMA32+ROC15>0%,171.78051937932867,252.02972995313297,-31.841168337055837,93.4327865284228,-40.0887744347114,1.6817825997150015
56,Price>0%_SMA32+ROC15>0,171.78051937932867,252.02972995313297,-31.841168337055837,93.4327865284228,-40.0887744347114,1.6817825997150015
57,Price>SMA40,171.20879367194954,252.02972995313297,-32.06801685508006,93.35013087034663,-50.24552928163438,1.6264764865225976
58,EMA10>SMA30+ROC20>0,170.85243187261813,252.02972995313297,-32.209413586091785,93.29848903246652,-45.571169761116955,1.5488355838463166
59,Price>SMA33,170.07951707117,252.02972995313297,-32.51608962847451,93.18615931201168,-44.04790916692868,1.5768881313781102
60,Price>SMA21,167.89841408635837,252.02972995313297,-33.38150458774031,92.86675676762519,-54.55664799457376,1.5557486935748268
61,Trend_SMA30+ROC15>0%,166.46218697623846,252.02972995313297,-33.95136875034803,92.65445348850405,-39.872389612465845,1.6511658097237079
62,Price>0%_SMA30+ROC15>0,166.46218697623846,252.02972995313297,-33.95136875034803,92.65445348850405,-39.872389612465845,1.6511658097237079
63,Trend_SMA25+ROC20>3%,164.12122698451972,252.02972995313297,-34.88021154685226,92.30496506379964,-44.26525059035501,1.5465629531141576
64,DualMom_ROC5&20+SMA30,163.16611692604053,252.02972995313297,-35.25917876578186,92.16112454671952,-45.0557869736702,1.659113824035258
